event,timestamp,content_type,content_id,extern_id,namespace
ViewContent,2017-02-01,product,DB_1,10020174,1492051684395540
ViewContent,2017-02-02,product,DB_2,10020265,1492051684395540
ViewContent,2017-02-03,product,DB_3,10020349,1492051684395540
ViewContent,2017-02-04,product,DB_4,10021126,1492051684395540
ViewContent,2017-02-05,product,DB_5,10021168,1492051684395540
ViewContent,2017-02-06,product,DB_6,10021224,1492051684395540
ViewContent,2017-02-07,product,DB_7,1002160,1492051684395540
ViewContent,2017-02-08,product,DB_8,10022563,1492051684395540
ViewContent,2017-02-09,product,DB_9,10022807,1492051684395540
ViewContent,2017-02-10,product,DB_10,10022859,1492051684395540
ViewContent,2017-02-11,product,DB_11,10023227,1492051684395540
ViewContent,2017-02-12,product,DB_12,10023735,1492051684395540
ViewContent,2017-02-13,product,DB_13,10027246,1492051684395540
ViewContent,2017-02-14,product,DB_14,10027320,1492051684395540
ViewContent,2017-02-15,product,DB_15,10027458,1492051684395540
ViewContent,2017-02-16,product,DB_16,10027532,1492051684395540
ViewContent,2017-02-17,product,DB_17,10028135,1492051684395540
ViewContent,2017-02-18,product,DB_18,10030313,1492051684395540
ViewContent,2017-02-19,product,DB_19,10030663,1492051684395540
ViewContent,2017-02-20,product,DB_20,10031353,1492051684395540
ViewContent,2017-02-21,product,DB_21,10033003,1492051684395540
ViewContent,2017-02-22,product,DB_22,10034868,1492051684395540
ViewContent,2017-02-23,product,DB_23,10035602,1492051684395540
ViewContent,2017-02-24,product,DB_24,10035872,1492051684395540
ViewContent,2017-02-25,product,DB_25,10038138,1492051684395540
ViewContent,2017-02-26,product,DB_26,10038362,1492051684395540
ViewContent,2017-02-27,product,DB_27,10038386,1492051684395540
ViewContent,2017-02-28,product,DB_28,1004021,1492051684395540
ViewContent,2017-03-01,product,DB_29,1004035,1492051684395540
ViewContent,2017-03-02,product,DB_30,10040507,1492051684395540
ViewContent,2017-03-03,product,DB_31,10041929,1492051684395540
ViewContent,2017-03-04,product,DB_32,10042626,1492051684395540
ViewContent,2017-03-05,product,DB_33,10042644,1492051684395540
ViewContent,2017-03-06,product,DB_34,10043262,1492051684395540
ViewContent,2017-03-07,product,DB_35,10043327,1492051684395540
ViewContent,2017-03-08,product,DB_36,10044384,1492051684395540
ViewContent,2017-03-09,product,DB_37,10045976,1492051684395540
ViewContent,2017-03-10,product,DB_38,10045994,1492051684395540
ViewContent,2017-03-11,product,DB_39,10046179,1492051684395540
ViewContent,2017-03-12,product,DB_40,10046659,1492051684395540
ViewContent,2017-02-20,product,DB_41,10046752,1492051684395540
ViewContent,2017-02-21,product,DB_42,10047124,1492051684395540
ViewContent,2017-02-22,product,DB_43,10047163,1492051684395540
ViewContent,2017-02-23,product,DB_44,10048134,1492051684395540
ViewContent,2017-02-24,product,DB_45,10048247,1492051684395540
ViewContent,2017-02-25,product,DB_46,10048445,1492051684395540
ViewContent,2017-02-26,product,DB_47,10048556,1492051684395540
ViewContent,2017-02-27,product,DB_48,10049135,1492051684395540
ViewContent,2017-02-28,product,DB_49,1004916,1492051684395540
ViewContent,2017-03-01,product,DB_50,10049200,1492051684395540
ViewContent,2017-03-02,product,DB_51,10050287,1492051684395540
ViewContent,2017-03-03,product,DB_52,10051537,1492051684395540
ViewContent,2017-03-04,product,DB_53,10051912,1492051684395540
ViewContent,2017-03-05,product,DB_54,10052143,1492051684395540
ViewContent,2017-03-06,product,DB_55,10052280,1492051684395540
ViewContent,2017-03-07,product,DB_56,1005232,1492051684395540
ViewContent,2017-03-08,product,DB_57,10052389,1492051684395540
ViewContent,2017-03-09,product,DB_58,10052846,1492051684395540
ViewContent,2017-03-10,product,DB_59,10053211,1492051684395540
ViewContent,2017-03-11,product,DB_60,10053217,1492051684395540
